reviews,Sentiment,Polarity,Reply
"✅Trip Verified|   Could not book online the night before because the system was down. Arrived early at airport to check in, to find our premium economy seats were downgraded to economy. What’s worse, the split my family so I, my wife, and autistic son sat separately. If I could give minus stars, I would. Shambles of an airline",Negative,-0.15111111111111114,We appreciate your feedback and will work on improving this area.
✅Trip Verified|   The employee at Venice Airport checkin was very rude to us. We made a mistake and got in the Gold or Silver line (as we didn’t see the sign) and when we got to the counter she scolded and berated us for being in the wrong line. She said we didn’t know how to read and would not let it go even after we apologized and said we would be happy to go to the end of the other line. She continued to be discourteous toward us and made us feel like we were terrible people. This was the very worst customer service we have experienced by an airline.,Negative,-0.25812499999999994,We appreciate your feedback and will work on improving this area.
"✅Trip Verified|   I had only 1 bag with me, a carry on trolley. Everyone one in boarding group 3 & 4 were forced to check-in their trolley carry-ons. They asked to take out any laptops, batteries, etc.... The woman at the boarding gate was very rude to me as I was explaining to her that this was my only bag and had nowhere to carry my laptop or other stuff that I need onboard. I tried to explain to her that the bag will not withstand being carried in the hold as it is fragile and showed her a crack from the one time I checked it in before. The bag was visibly small complying with the carry-on bag measurements.",Negative,-0.15214285714285714,We appreciate your feedback and will work on improving this area.
"Not Verified|  Very good service on this route BA2710 30th March. Cabin crew worked hard, particularly Ivka (?) who was on the go throughout the flight. Everything you would expect of BA (and as it used to be!) Shame the same cannot be said on our recent flight back from Singapore, in Business Class on 11th Feb BA12. Miserable, unhappy and tetchy crew. Too lazy to do anything except sleep! Perhaps BA need to promote some of their short-haul performers, and let the others go.",Negative,-0.12064814814814816,We appreciate your feedback and will work on improving this area.
✅Trip Verified|   Another awful experience by British Airways. This flight was delayed nearly 1 hour. British Airways charges an extortionate amount for their tickets but the service is bad for me.,Negative,-0.31999999999999995,We appreciate your feedback and will work on improving this area.
"✅Trip Verified|   This flight was a joke. There was four people in business class including myself and my companion. The service was outrageous. The crew was too busy flirting with the captain and where she was going for the day off, instead of paying attention in the cabin.",Negative,-0.45,We appreciate your feedback and will work on improving this area.
"✅Trip Verified| Terrible overall, medium service and the flight was delayed. There was no help at all to reschedule a connecting flight. The customer support was terrible and the request for compensation is still pending after one year.",Negative,-0.6666666666666666,We appreciate your feedback and will work on improving this area.
"✅Trip Verified| The check in process and reward/loyalty program is a mess. I am never able to get points, even when trying it through a partner airline. Unfortunately for work I have to travel with them sometimes.  This time, the flight was delayed.",Negative,-0.30833333333333335,We appreciate your feedback and will work on improving this area.
"Not Verified|  British Airways stranding my wife and I at Heathrow Airport for 2.5 days, with no access to our baggage. We we told by airline employees to purchase any necessities (toiletries, refreshments, etc.) and we'd be reimbursed. That claim was denied, with BA claiming that weather was the reason for the delay (an outright lie since every other airline in London was flying on-time). We were unable to to anything besides stand in lines for vouchers, stand in lines for shuttles, stand in line for reservations, etc. for 48+ hours. It was an absolute nightmare and I will never fly BA again.",Negative,-0.16499999999999998,We appreciate your feedback and will work on improving this area.
